,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
168,volkswagen,diesel,std,four,sedan,Front Wheel Drive,front,97.3,171.7,65.5,55.7,2264,ohc,four,97,idi,3.01,3.4,23,52,4800,37,46,7995
169,volkswagen,gas,std,four,sedan,Front Wheel Drive,front,97.3,171.7,65.5,55.7,2212,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,8195
170,volkswagen,gas,std,four,sedan,Front Wheel Drive,front,97.3,171.7,65.5,55.7,2275,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,8495
171,volkswagen,diesel,turbo,four,sedan,Front Wheel Drive,front,97.3,171.7,65.5,55.7,2319,ohc,four,97,idi,3.01,3.4,23,68,4500,37,42,9495
172,volkswagen,gas,std,four,sedan,Front Wheel Drive,front,97.3,171.7,65.5,55.7,2300,ohc,four,109,mpfi,3.19,3.4,10,100,5500,26,32,9995
173,volkswagen,gas,std,two,convertible,Front Wheel Drive,front,94.5,159.3,64.2,55.6,2254,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29,11595
174,volkswagen,gas,std,two,hatchback,Front Wheel Drive,front,94.5,165.7,64,51.4,2221,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29,9980
175,volkswagen,gas,std,four,sedan,Front Wheel Drive,front,100.4,180.2,66.9,55.1,2661,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,24,13295
176,volkswagen,diesel,turbo,four,sedan,Front Wheel Drive,front,100.4,180.2,66.9,55.1,2579,ohc,four,97,idi,3.01,3.4,23,68,4500,33,38,13845
177,volkswagen,gas,std,four,wagon,Front Wheel Drive,front,100.4,183.1,66.9,55.1,2563,ohc,four,109,mpfi,3.19,3.4,9,88,5500,25,31,12290
178,volvo,gas,std,four,sedan,Rear Wheel Drive,front,104.3,188.8,67.2,56.2,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,12940
179,volvo,gas,std,four,wagon,Rear Wheel Drive,front,104.3,188.8,67.2,57.5,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,13415
180,volvo,gas,std,four,sedan,Rear Wheel Drive,front,104.3,188.8,67.2,56.2,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,15985
181,volvo,gas,std,four,wagon,Rear Wheel Drive,front,104.3,188.8,67.2,57.5,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,16515
182,volvo,gas,turbo,four,sedan,Rear Wheel Drive,front,104.3,188.8,67.2,56.2,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18420
183,volvo,gas,turbo,four,wagon,Rear Wheel Drive,front,104.3,188.8,67.2,57.5,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18950
184,volvo,gas,std,four,sedan,Rear Wheel Drive,front,109.1,188.8,68.9,55.5,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,16845
185,volvo,gas,turbo,four,sedan,Rear Wheel Drive,front,109.1,188.8,68.8,55.5,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160,5300,19,25,19045
186,volvo,gas,std,four,sedan,Rear Wheel Drive,front,109.1,188.8,68.9,55.5,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134,5500,18,23,21485
187,volvo,diesel,turbo,four,sedan,Rear Wheel Drive,front,109.1,188.8,68.9,55.5,3217,ohc,six,145,idi,3.01,3.4,23,106,4800,26,27,22470
188,volvo,gas,turbo,four,sedan,Rear Wheel Drive,front,109.1,188.8,68.9,55.5,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,19,25,22625
